seller,seller_URL,items_no,sales_no,admirers_no,year_join,metrics
1SUPREMESUIT,https://www.etsy.com/uk/shop/1SUPREMESUIT?ref=shop-header-name&listing_id=1563264343&from_page=listing,3,1418,10,2023,"['Smooth dispatch', 'Speedy replies']"
20EyesDesign,https://www.etsy.com/uk/shop/20EyesDesign?ref=shop-header-name&listing_id=473764763&from_page=listing,28,101,1249,Not known,"['Smooth dispatch', 'Rave reviews']"
2100store,https://www.etsy.com/uk/shop/2100store?ref=shop-header-name&listing_id=1585938133&from_page=listing,17,1821,204,Not known,['Rave reviews']
28YellowStarsShop,https://www.etsy.com/uk/shop/28YellowStarsShop?ref=shop-header-name&listing_id=1245152079&from_page=listing,141,420,306,Not known,None
2PlayerGame,https://www.etsy.com/uk/shop/2PlayerGame?ref=shop-header-name&listing_id=155036419&from_page=listing,41,884,4278,2013,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
3DAIModels,https://www.etsy.com/shop/3DAIModels?ref=shop-header-name&listing_id=1678746243&from_page=listing,98,3144,112,2024,None
3DCraftsmen,https://www.etsy.com/uk/shop/3DCraftsmen?ref=shop-header-name&listing_id=1090712964&from_page=listing,210,730,2477,2012,['Smooth dispatch']
3DDaveDesigns,https://www.etsy.com/shop/3DDaveDesigns?ref=shop-header-name&listing_id=1714262685&from_page=listing,7,6860,141,Not known,['Rave reviews']
3DFilaMint,https://www.etsy.com/de-en/shop/3DFilaMint?ref=shop-header-name&listing_id=773070264&from_page=listing,28,901,677,Not known,['Rave reviews']
3DHobbyWorldStudio,https://www.etsy.com/uk/shop/3DHobbyWorldStudio?ref=shop-header-name&listing_id=1481436782&from_page=listing,15,1208,4,Not known,None
3DPrinceLLC,https://www.etsy.com/uk/shop/3DPrinceLLC?ref=shop-header-name&listing_id=887153779&from_page=listing,90,33,950,2020,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
3DPrintModelStore,https://www.etsy.com/uk/shop/3DPrintModelStore?ref=shop-header-name&listing_id=1487529815&from_page=listing,235,5816,890,Not known,None
3DPrintingStoreHC,https://www.etsy.com/uk/shop/3DPrintingStoreHC?ref=shop-header-name&listing_id=1385314094&from_page=listing,69,1053,159,Not known,None
3DReplicaShopCo,https://www.etsy.com/uk/shop/3DReplicaShopCo?ref=shop-header-name&listing_id=1609077511&from_page=listing,23,109,154,Not known,"['Smooth dispatch', 'Rave reviews']"
